current_A,h_observed_cm,B0_Gauss
1.01,10.135,095
1.42,10.190,131
1.83,10.300,169
2.02,10.337,186
2.31,10.433,210
2.54,10.500,227
2.76,10.568,243
2.98,10.612,256
